microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
1046,1.032,-0.049,0.002,-0.305,-0.305,0,-89.951,-87.473,77.19,3
1080,1.008,-0.085,0.028,-0.244,0.244,1.343,-72.51,-83.54,178.989,3
1168,1.032,-0.041,0.003,-0.244,0.61,0.183,-88.962,-87.468,76.19,3
1184,1.006,-0.083,0.028,0.061,0.366,0.916,-72.697,-83.485,179.182,3
1290,1.004,-0.083,0.029,0.244,0.427,0.793,-72.729,-83.507,179.116,3
1348,1.029,-0.041,-0.015,0.122,-0.671,0.061,-87.693,-87.462,74.965,3
1355,1.026,-0.04,0.004,-0.183,0.488,0.366,-88.347,-87.451,75.608,3
1407,1.036,-0.044,0.016,-0.305,0.122,0.061,-89.643,-87.473,76.915,3
1484,1.008,-0.083,0.021,0.305,0.488,1.404,-72.592,-83.507,178.874,3
1572,1.03,-0.042,0,0.183,-0.183,0.549,-88.215,-87.468,75.498,3
1576,1.006,-0.087,0.028,-0.061,0.671,0.977,-72.614,-83.474,178.929,3
1616,1.028,-0.047,-0.005,-0.488,-0.061,0.061,-87.501,-87.495,74.778,3
1680,1.006,-0.089,0.027,0.183,0.061,0.916,-72.631,-83.485,178.912,3
1786,1.008,-0.087,0.025,-0.366,0.366,0.61,-72.653,-83.452,178.852,3
1828,1.035,-0.036,0.012,-0.793,-0.488,0.244,-88.055,-87.473,75.339,3
1836,1.024,-0.048,0.001,-0.061,-0.305,0.305,-87.193,-87.484,74.46,3
1963,1.03,-0.046,0,-0.122,-0.61,-0.549,-88.028,-87.501,75.317,3
1979,1.007,-0.093,0.023,0.061,0.305,1.221,-72.548,-83.496,178.742,3
2024,1.03,-0.034,-0.01,-0.061,1.587,0.061,-87.737,-87.49,74.987,3
2069,1.006,-0.09,0.028,-0.488,-0.244,1.16,-72.751,-83.463,178.819,3
2175,1.003,-0.087,0.03,0.122,0.366,0,-72.85,-83.43,178.956,3
2232,1.024,-0.034,0.003,-0.244,1.099,0.427,-86.808,-87.468,74.026,3
2262,1.031,-0.035,0.007,-0.061,-2.075,0.061,-88.418,-87.49,75.69,3
2279,1.01,-0.083,0.021,-0.366,0.549,0.244,-72.504,-83.535,178.753,3
2383,1.041,-0.057,0.016,-0.366,-1.16,-0.427,-89.764,-87.512,76.981,3
2474,1.012,-0.07,0.029,-0.244,1.709,1.099,-71.565,-83.754,177.215,3
2561,1.062,-0.027,0.125,2.197,22.4,-1.038,-68.566,-87.374,55.585,3
2563,1.039,-0.06,0.055,0.366,28.015,0.183,-30.416,-85.402,17.369,3
2566,0.999,-0.085,0.024,0.671,0.183,2.502,-71.933,-83.622,177.133,3
2625,1.019,-0.019,0.074,1.221,28.503,-0.061,-19.028,-82.771,6.01,3
2685,0.999,-0.076,0.027,-0.488,0.793,-2.869,-71.51,-83.617,176.133,3
2727,1.024,-0.053,0.16,2.075,18.86,-0.916,-14.013,-80.81,1.06,3
2759,1.012,-0.086,0.029,1.465,0.305,-1.343,-70.104,-83.897,174.293,3
2864,1.014,-0.083,0.032,-0.854,-0.305,2.197,-69.576,-83.969,172.782,3
2877,1.026,-0.027,0.207,1.343,23.193,-0.671,-10.833,-78.629,-2.137,3
2936,1.008,-0.041,0.244,1.404,28.32,-0.122,-8.608,-75.965,-4.576,3
2969,0.999,-0.078,0.034,0.183,-0.549,2.075,-69.906,-83.853,172.326,3
3056,0.982,-0.036,0.255,0.732,21.973,-0.183,-7.125,-73.488,-6.097,3
3063,0.996,-0.077,0.032,0.854,1.099,-1.892,-69.483,-83.897,171.079,3
3164,1.015,-0.073,0.025,0.305,0.977,-1.404,-68.231,-84.183,168.876,3
3178,0.996,-0.026,0.346,1.648,23.743,0,-6.004,-71.422,-7.311,3
3237,0.971,-0.038,0.375,1.587,28.442,0.305,-4.883,-68.752,-8.597,3
3254,1.006,-0.066,0.036,0.793,-0.366,1.831,-67.742,-84.221,167.003,3
3342,0.944,-0.02,0.406,0.549,28.625,-0.916,-4.136,-65.934,-9.47,3
3374,1.002,-0.08,0.028,-0.977,0.549,0.427,-68.258,-84.144,165.998,3
3447,0.931,-0.035,0.46,1.953,24.414,0.122,-3.51,-63.32,-10.289,3
3464,1.008,-0.081,0.031,1.648,0.366,-1.831,-67.917,-84.293,164.68,3
3537,0.906,-0.015,0.487,2.136,25.635,-0.061,-2.966,-60.76,-10.893,3
3555,1.01,-0.054,0.038,0.061,-0.183,-0.305,-67.209,-84.446,162.213,3
3673,0.883,-0.022,0.538,0.977,26.245,-1.16,-2.532,-58.277,-11.552,3
3678,1.009,-0.063,0.035,-0.61,0.366,1.404,-67.489,-84.468,160.538,3
3733,0.854,-0.017,0.572,1.282,27.039,-0.427,-2.236,-55.651,-12.156,3
3749,1.005,-0.071,0.028,0.061,0.488,-0.244,-67.972,-84.485,159.219,3
3837,0.835,-0.021,0.634,1.404,27.527,-0.427,-1.917,-53.113,-12.706,3
3854,1.012,-0.08,0.029,0.366,-0.488,-2.319,-67.753,-84.743,157.061,3
3960,1.011,-0.052,0.032,0.183,-0.366,-0.671,-67.302,-84.897,154.407,3
3972,0.806,-0.018,0.629,1.343,26.428,0,-1.571,-50.251,-13.189,3
4049,1.007,-0.056,0.032,-0.183,0.183,0,-67.769,-84.963,152.446,3
4136,0.771,-0.003,0.684,1.038,26.672,-0.488,-1.362,-47.708,-13.579,3
4138,0.744,-0.018,0.723,0.916,28.076,-0.427,-1.115,-45.033,-14.095,3
4155,1.018,-0.069,0.026,-0.244,-0.366,0.488,-68.121,-85.012,149.974,3
4245,1,-0.063,0.033,-1.343,6.897,-2.441,-66.907,-85.007,145.695,3
4273,0.698,-0.005,0.751,0.122,27.649,-0.671,-0.879,-42.303,-14.557,3
4439,1.006,-0.059,0.038,0.366,2.991,-5.31,-59.826,-85.265,135.28,3
4454,1.013,-0.055,0.042,1.099,-7.019,5.676,-60.573,-85.369,132.473,3
4545,1.01,-0.05,0.039,-0.183,-0.305,1.221,-63.083,-85.364,131.32,3
4652,1.005,-0.062,0.035,-0.549,-0.366,-0.427,-63.424,-85.435,128.057,3
4692,0.67,-0.008,0.793,0.977,25.085,-0.488,-0.731,-39.727,-14.963,3
4694,0.631,0,0.805,1.587,28.442,-0.061,-0.511,-36.909,-15.348,3
4722,0.585,0.008,0.854,1.099,30.029,-0.427,-0.335,-34.173,-15.71,3
4722,0.541,-0.005,0.87,0.916,26.978,-1.587,-0.126,-31.404,-16.205,3
