microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
9749,-0.378,0.353,0.82,-7.507,-0.366,1.282,22.896,23.659,-86.177,2
9781,0.584,-0.807,-0.128,-1.404,2.869,0.244,-97.575,-37.266,-98.668,2
9873,0.582,-0.82,-0.112,-2.38,0.549,0.305,-97.63,-37.178,-98.904,2
9884,-0.428,0.357,0.834,-0.366,1.648,1.404,22.659,23.703,-85.825,2
9915,-0.418,0.36,0.859,3.418,4.028,0.427,22.319,23.857,-85.611,2
9961,0.598,-0.814,-0.097,4.456,-2.014,1.526,-97.438,-37.051,-98.855,2
10018,-0.423,0.375,0.82,-1.16,9.216,2.563,22.819,24.423,-84.946,2
10067,0.605,-0.808,-0.116,3.601,-2.258,4.15,-96.96,-36.738,-98.756,2
10139,-0.434,0.36,0.831,2.563,12.207,-2.197,23.247,25.488,-84.37,2
10161,0.589,-0.822,-0.095,5.981,-3.296,6.287,-96.57,-36.244,-98.536,2
10261,0.58,-0.823,-0.085,7.385,-4.211,9.094,-96.037,-35.464,-98.267,2
10319,-0.458,0.384,0.812,8.85,20.325,-1.282,23.835,27.169,-83.578,2
10329,-0.492,0.379,0.772,4.456,21.606,-2.625,24.664,29.24,-82.683,2
10367,0.581,-0.82,-0.058,6.042,-2.38,5.737,-95.57,-34.629,-97.971,2
10458,0.563,-0.806,-0.092,5.554,-4.211,3.601,-95.158,-34.217,-97.8,2
10514,-0.522,0.377,0.734,1.648,21.545,3.662,25.499,31.119,-81.541,2
10531,-0.547,0.343,0.742,-6.348,20.203,-0.854,25.966,32.882,-80.53,2
10577,0.561,-0.838,-0.098,-0.061,-4.883,4.517,-95.416,-33.679,-97.46,2
10619,-0.581,0.371,0.735,-0.916,29.663,-2.563,26.526,35.074,-79.568,2
10653,0.553,-0.861,-0.081,2.686,-5.249,9.644,-95.543,-32.997,-96.916,2
10724,-0.668,0.385,0.65,5.676,31.433,-4.456,27.784,38.134,-78.03,2
10757,0.533,-0.875,-0.069,6.836,-2.258,15.808,-95.076,-31.657,-96.696,2
10862,0.519,-0.86,-0.082,5.676,0,15.503,-94.406,-29.932,-96.894,2
10964,-0.673,0.386,0.603,1.892,28.137,-5.859,29.207,41.193,-76.564,2
11057,0.459,-0.902,-0.088,2.625,-2.808,10.071,-93.796,-27.109,-97.432,2
11129,-0.692,0.336,0.597,5.737,26.184,-7.019,30.465,43.962,-75.547,2
11146,0.47,-0.901,-0.092,3.296,-4.883,0.427,-93.922,-26.735,-96.976,2
11174,-0.686,0.338,0.553,1.77,17.639,-4.211,31.547,46.17,-74.784,2
11174,-0.661,0.357,0.524,-0.671,5.432,0.549,32.223,47.252,-74.224,2
11252,0.491,-0.837,-0.054,-6.775,-0.183,-11.047,-94.224,-27.339,-96.828,2
11281,-0.705,0.313,0.495,-2.563,-12.085,0.305,32.278,47.032,-74.07,2
11340,-0.706,0.377,0.605,0.427,-18.555,3.296,31.201,45.33,-75.037,2
11372,0.493,-0.903,-0.076,-5.31,2.991,-10.498,-95.142,-28.575,-97.114,2
11462,0.495,-0.917,-0.088,-0.366,1.709,2.563,-95.378,-28.96,-97.504,2
11551,0.468,-0.869,-0.094,1.709,3.784,7.996,-95.142,-28.356,-97.965,2
11594,-0.724,0.397,0.646,-1.526,-6.47,-0.671,30.564,44.05,-75.591,2
11642,0.458,-0.912,-0.045,2.747,2.319,6.287,-94.839,-27.686,-98.432,2
11669,-0.684,0.314,0.6,1.892,1.526,-4.15,29.855,44.066,-76.025,2
11747,0.458,-0.918,-0.055,8.911,-0.244,11.902,-93.906,-26.708,-98.58,2
11819,-0.713,0.353,0.648,-1.404,8.057,3.113,29.268,44.495,-76.179,2
11836,-0.749,0.376,0.623,2.441,19.897,-2.136,30.58,45.659,-75.015,2
11836,-0.742,0.319,0.562,4.761,14.343,0.671,31.465,47.34,-73.894,2
11836,0.428,-0.855,-0.053,-6.714,3.723,16.174,-93.351,-25.329,-98.789,2
11942,0.4,-0.931,-0.053,0.61,-1.038,19.592,-92.873,-23.461,-98.817,2
11998,-0.749,0.349,0.549,5.859,20.996,-6.287,32.651,49.131,-72.982,2
12031,0.365,-0.95,-0.037,6.104,-0.671,21.301,-92.093,-21.39,-98.762,2
12137,0.356,-0.927,-0.045,3.784,-0.61,24.841,-91.544,-19.105,-98.745,2
12168,-0.798,0.363,0.486,4.944,23.01,-4.028,34.091,51.345,-71.51,2
12175,-0.772,0.314,0.475,-0.61,24.658,-8.484,35.305,53.652,-70.274,2
12241,0.313,-0.962,-0.003,5.188,-1.465,20.996,-91.247,-16.946,-98.646,2
12332,0.221,-0.947,-0.015,7.751,1.404,14.099,-90.753,-15.353,-98.613,2
12350,-0.808,0.324,0.407,0.061,26.733,-8.179,36.398,56.25,-68.978,2
12366,-0.796,0.314,0.376,3.601,23.682,1.16,38.469,58.228,-66.797,2
12437,0.268,-0.943,-0.01,4.333,0.061,2.808,-90.038,-14.469,-98.729,2
12527,0.257,-0.954,0.001,-1.099,2.869,3.052,-90.005,-14.227,-98.91,2
