microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
7068,1.021,-0.046,0.087,-2.686,-33.997,-3.662,-21.78,-82.936,87.715,3
7115,0.905,0.419,-0.111,1.709,3.54,41.687,103.942,-63.419,-27.29,3
7188,1.05,-0.042,0.061,-3.174,-39.185,-3.967,-42.38,-86.715,107.589,3
7205,0.935,0.397,-0.107,1.648,3.784,41.809,105.645,-67.604,-27.636,3
7309,1.054,-0.042,-0.006,-2.686,-40.222,-3.906,-129.639,-87.654,-165.91,3
7329,0.955,0.311,-0.102,1.587,3.845,43.03,108.083,-71.686,-28.575,3
7383,1.049,-0.027,-0.068,-3.235,-45.41,-5.066,-165.718,-84.391,-130.501,3
7401,0.982,0.27,-0.095,1.648,3.784,42.175,111.874,-75.751,-30.756,3
7503,1.042,-0.022,-0.129,-2.502,-34.668,-2.991,-173.892,-80.771,-122.975,3
7510,1,0.163,-0.088,1.831,3.845,42.114,118.378,-79.612,-35.546,3
7594,1.03,-0.008,-0.191,-1.343,-26.672,-2.625,-176.391,-78.349,-120.948,3
7614,0.969,0.14,-0.083,0.061,2.319,26.672,130.682,-82.991,-46.099,3
7698,1.046,-0.051,-0.014,-2.441,-26.978,-3.235,-178.819,-75.509,-119.366,3
7705,1.024,0.169,-0.085,0.366,-0.061,-0.549,135.89,-83.804,-49.713,3
7774,1.03,-0.018,-0.183,1.648,18.433,1.709,-177.742,-77.108,-120.806,3
7806,1.01,0.127,-0.084,-0.183,-1.099,-11.292,131.017,-83.172,-43.38,3
7893,1.019,-0.019,-0.189,0.427,11.597,0.977,-176.616,-78.613,-122.102,3
7905,1,0.113,-0.082,-0.732,-1.16,-11.902,125.678,-82.128,-36.612,3
8001,0.995,0.107,-0.082,-0.488,-0.977,-10.132,122.042,-81.129,-31.536,3
8106,0.989,0.102,-0.081,0,-0.061,-1.282,120.905,-80.706,-28.954,3
8179,0.998,-0.012,-0.222,0.793,12.573,1.282,-175.342,-79.876,-123.552,3
8193,0.979,-0.007,-0.248,0.305,3.54,0.427,-174.485,-80.541,-124.492,3
8268,1.021,-0.02,-0.153,-0.732,-7.263,-0.793,-175.095,-80.041,-124.063,3
8296,1.016,-0.01,-0.183,-0.549,-6.348,-0.732,-175.369,-79.733,-124.008,3
8301,0.996,0.128,-0.085,0.061,0.305,4.639,123.041,-81.332,-28.674,3
8406,1,0.138,-0.086,0.061,0.366,3.479,124.162,-81.645,-28.724,3
8423,1.019,-0.018,-0.174,-0.366,-4.822,-0.488,-175.754,-79.365,-123.849,3
8494,1.022,-0.017,-0.168,0,-0.671,-0.122,-175.847,-79.266,-124.019,3
8602,0.997,0.117,-0.084,0,0,-0.793,124.019,-81.617,-26.614,3
8619,1.009,-0.014,-0.201,0.183,1.526,0.244,-175.638,-79.448,-124.404,3
8691,1,0.129,-0.086,0,0,0.916,124.167,-81.645,-25.818,3
8750,1.015,-0.014,-0.184,-0.122,-1.404,0,-175.671,-79.371,-124.508,3
8796,1,0.128,-0.085,0,-0.061,-0.671,124.102,-81.623,-24.906,3
8826,1.017,-0.015,-0.183,0.122,1.16,0,-175.633,-79.415,-124.728,3
8888,0.998,0.12,-0.084,0,0,0.305,124.003,-81.59,-23.972,3
