microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
11487,0.163,-0.992,-0.009,3.784,-4.089,-22.888,-90.527,-7.844,-73.405,3
11513,0.211,0.116,0.992,-4.578,-24.902,3.906,4.274,-11.151,-20.841,3
11592,0.183,-0.98,0.001,0.488,-0.977,-25.33,-90.401,-10.267,-73.663,3
11678,0.264,0.101,0.985,-3.052,-26.855,0.916,4.208,-13.629,-20.869,3
11754,0.287,0.073,0.993,-0.732,-21.667,-0.244,4.268,-16.161,-21.165,3
11787,0.277,-0.967,-0.016,4.028,0,-27.039,-89.83,-15.364,-74.756,3
11829,0.341,0.03,0.993,1.831,-29.297,3.357,4.417,-18.842,-21.368,3
11877,0.314,-0.985,-0.011,1.282,-5.493,-26.855,-89.676,-17.979,-74.971,3
11918,0.402,0.07,0.955,-1.099,-26.733,6.775,4.158,-21.456,-20.874,3
11982,0.354,-0.951,0.021,2.075,-2.686,-27.1,-89.676,-20.632,-74.806,3
12026,0.437,0.102,0.94,-0.916,-26.672,0.122,4.07,-24.022,-20.676,3
12071,0.393,-0.934,0.002,1.404,3.967,-22.583,-89.368,-23.538,-75.377,3
12129,0.466,0.05,0.9,-0.732,-19.897,-1.282,4.246,-26.219,-21.088,3
12177,0.432,-0.899,0.001,3.479,-0.427,-21.912,-89.011,-25.757,-76.058,3
12219,0.48,0.054,0.875,0.854,-26.794,3.906,4.191,-28.537,-20.989,3
12282,0.446,-0.886,0.026,1.404,0.122,-24.597,-88.792,-28.202,-76.223,3
12324,0.534,0.051,0.848,1.404,-26.367,2.319,4.241,-30.981,-20.852,3
12429,0.602,0.065,0.852,2.38,-21.484,4.639,4.219,-33.514,-20.561,3
12479,0.565,-0.846,0.038,1.953,-0.549,-22.034,-88.099,-33.267,-76.954,3
12568,0.583,-0.779,0.061,0.305,3.723,-24.414,-87.627,-35.563,-77.525,3
12639,0.577,0.105,0.769,-3.235,-17.029,0.916,4.323,-35.59,-20.369,3
12642,0.627,0.043,0.819,-1.038,-21.057,-1.282,4.449,-37.897,-20.698,3
12672,0.623,-0.794,0.027,1.221,2.014,-22.4,-87.314,-37.7,-78.371,3
12776,0.622,-0.796,0.031,3.296,-0.427,-22.278,-87.006,-40.034,-78.964,3
12880,0.694,-0.761,0.038,4.272,-1.526,-25.574,-86.682,-42.341,-79.266,3
12971,0.7,-0.716,0.05,3.113,0.122,-26.611,-86.144,-45.209,-79.618,3
13073,0.677,0.04,0.792,0.244,-32.471,1.038,4.34,-40.1,-20.665,3
13076,0.719,0.035,0.754,3.54,-17.944,3.723,4.307,-42.402,-20.462,3
13076,0.75,-0.717,0.052,3.601,-1.16,-22.766,-85.589,-47.521,-79.997,3
13166,0.772,-0.653,0.042,-0.793,0.732,-24.231,-85.226,-50.098,-80.486,3
13239,0.7,0.045,0.73,2.014,-33.203,2.869,4.345,-45.132,-19.995,3
13272,0.808,-0.616,0.055,1.404,-0.732,-22.217,-84.902,-52.125,-80.914,3
13360,0.787,-0.601,0.062,0.61,0.671,-26.733,-84.43,-54.624,-81.557,3
13480,0.855,-0.578,0.055,2.258,0.488,-21.423,-83.947,-57.014,-82.046,3
13524,0.788,0.064,0.723,4.822,-16.968,2.38,4.587,-47.615,-19.924,3
13554,0.803,0.056,0.624,-2.563,-27.405,1.648,4.625,-49.823,-19.693,3
